text,label
sốt sổ_mũi kéo đi khám_sĩ,0
hỗ_trợ vay tiền chấp đừng hội trôi,1
hàng_xách giá rẻ ưu_đãi phương_pháp giúp thành_công,1
du_học đức chuẩn giấy_tờ,0
the_lovers nghĩa tổng_quan chiều ngược_xuôi lá tình_nhân,0
giá cước taxi tết cập_nhật,0
bệnh đái_dầm trẻ nguyên_nhân xử_lý phòng_ngừa,0
khai_giảng khóa học ielts res,0
học hàng sạn nghề,0
triệu_chứng_bệnh đậu_mùa khỉ lây_nhiễm nguy_hiểm,0
học_chứng nghiệp_vụ văn_thư_lưu_trữ hành_văn_phòng,0
áo_khoác cardigan nữ form ngắn thu đông,0
nhật quái_dị xử_lý rác,0
thực_phẩm máu,0
cccd hỗ_trợ tài hỗ_trợ vay tiền bất_ngờ kết,1
hàng_xách giá rẻ ưu_đãi lỡ,1
món đồ cấm đài_loan,0
hàng ưu_đãi hỗ_trợ ngạc_nhiên,1
học tiếng online,0
myinstants kho soundboard siêu vui sinh_viên,0
cắm hoa nghệ_thuật đơn_giản,0
hỗ_trợ vay tiền cccd giải_ngân chóng đừng lỡ_hội,1
bánh đồng_tiền mix hạt món ngon giòn_rụm dinh_dưỡng,0
lợi_ích yến_mạch mật_ong đem sức_khoẻ,0
game đổi thưởng tool auto thắng kiếm tiền chóng chờ ngạc_nhiên,1
xây_dựng thói_quen đọc sách,0
game đổi thưởng chắn trúng,1
quê lập_nghiệp chăm_sóc mẹ xứ đuổi giấc mơ,0
hàng hãng giá sốc hưởng lợi_nhuận nhân hoa_hồng khủng đừng hội trôi,1
giấc_ngủ cân công sống,0
tuyển cộng_tác_viên bất_động_sản_hóa,0
cảm sài_gòn giác_quan,0
khoản kinh_nghiệm chóng hành_động hôm,1
tiền điện cọc kết chứng_minh,1
thiết_kế macbook thiết_kế cổng hdmi đầu_đọc thẻ,0
cọc trọ online quyết_đoán,1
toán cọc lo_lắng,1
thử chấp giấy_tờ lãi_suất lập_tức chờ_đợi bạn,1
công_an tra tài_khoản nhấp liên_kết xác_minh tài_khoản bất_ngờ kết,1
tuyển nhân_viên kế_toán,0
đầu_tư x triệu đầu_tư rủi_ro lãi_suất hấp chờ hàng trăm thành_công,1
lãi_suất hấp đầu_tư rủi_ro cam_kết lợi_nhuận đừng lỡ_hội,1
quy_hoạch sân_bay vinh đón siêu máy_bay công_suất triệu hành,0
top dịch_vụ nấu tiệc giá rẻ uy_tín chất tphcm,0
trà lài trà nhài công_dụng trà lài hồng_sơn,0
thử cọc toán trọ online lập_tức hàng trăm thành_công,1
hội vàng đầu_tư x triệu chốt đơn quyết_định muộn,1
đảm_bảo lợi_nhuận lãi_suất hấp hội vàng hàng ngàn thành_công,1
hàng_xách giá rẻ hàng hãng giá sốc,1
hàng ưu_đãi hỗ_trợ phương_pháp giúp thành_công,1
thử cọc toán tiền điện lập_tức,1
chốt đơn hội vàng quyết_đoán,1
du_học nghề đức hội phát_triển nghiệp ngành nổi_bật,0
khuyến_mãi hôm tư_vấn miễn_phí lỡ,1
bí_quyết cảm_sống tươi đẹp,0
khoản thu_nhập khủng bất_ngờ kết,1
google sites lập website chuyên_nghiệp tích_tắc,0
pickleball môn thể_thao nổi giới mộ_điệu phát cuồng top phụ_kiện pickleball_thiết,0
săn vé máy_bay đi mỹ giá rẻ ưu_đãi hồng hải_nam,0
đầu_tư x triệu đầu_tư rủi_ro thời_gian chờ_đợi,1
lớp_học chứng quản_lý hành khai_thác vận_tải,0
thu_nhập giàu nhẹ lương lo_lắng,1
tiền điện_toán cọc chờ lỡ,1
học_bổng khủng chứng chóng hành_động hôm,1
tây ninh triệt_phá lừa_đảo mạng chiếm_đoạt tỉ đồng,0
hoa_hồng khủng ưu_đãi phương_pháp giúp thành_công,1
cọc trọ online quyết_đoán,1
chứng sơ chuyên_ngành vận_tải,0
hàng_xách giá rẻ ưu_đãi chóng hành_động hôm,1
thu_nhập kinh_nghiệm nhẹ lương chờ bất_ngờ kết,1
doanh_nghiệp nhật ứng_viên hutech,0
nguyên tổng_bí_thư nông đức nguyên_thủ_tướng nguyễn dũng tặng huân_chương vàng,0
an cung ngưu hoàng,0
mỹ dạy bé lọ_lem đấy,0
thể_thao sức_khỏe tips luyện_tập thể_thao hiệu,0
khám_phá nghệ_thuật bền_vững ngành thiết_kế thời_trang,0
mẹo bảo_quản mứt trái lo hư_hỏng,0
thu_nhập khủng tuyển khẩn đừng hội trôi,1
tool auto thắng game đổi thưởng chắn trúng ngạc_nhiên,1
tiền động sinh lãi_suất hấp lợi_nhuận chắn,1
thử học_phí đồng_học_bổng khủng chứng lập_tức kết chứng_minh,1
hàng hãng giá sốc hoa_hồng khủng,1
toán cọc trọ online thời_gian chờ_đợi,1
yêu trân_trọng,0
hoa_hồng khủng hưởng lợi_nhuận nhân đừng hội trôi,1
mẹo vặt cực hiệu sống hàng,0
lựa hoa nữ mùa hè kiếm hương thơm hoàn_hảo nàng,0
the empress nữ_hoàng tình_yêu sinh_sôi_tarot,0
thử phí đăng_ký cọc lập_tức phương_pháp giúp thành_công,1
đầu_tư rủi_ro chốt đơn thời_gian chờ_đợi,1
học_phí đồng khóa học giá rẻ học online miễn_phí thời_gian chờ_đợi,1
tiếc_nuối thời học_sinh,0
đức an đầu giải_pháp niêm_phong chuyên_nghiệp,0
lái_xe hiện dân,0
phụ_nữ dằn chồng trở_thành triết_gia trở_thành cướp,0
hội vàng hứa_hẹn sinh lãi_suất hấp ngạc_nhiên,1
hoa_hồng khủng ưu_đãi đừng lỡ_hội,1
hội học_tập quốc_tế học_phí đồng hội thời_gian ngắn,1
tồn tồn,0
chia_sẻ kinh câu học_tập hiệu sinh_viên,0
hình cảm thư_thái dịp tuần,0
cảnh đẹp huế du_lịch huế,0
