text,label
sốt sổ_mũi kéo_dài đi khám bác_sĩ,0
hỗ_trợ vay tiền 247 thế_chấp đừng cơ_hội trôi,1
hàng_xách giá rẻ ưu_đãi phương_pháp giúp thành_công,1
du_học đức chuẩn_bị giấy_tờ,0
the lovers ý_nghĩa tổng_quan chiều ngược xuôi lá tình_nhân,0
giá cước taxi tết cập_nhật 2025,0
bệnh đái_dầm trẻ 7 nguyên_nhân_cách xử_lý phòng_ngừa,0
khai_giảng khóa học ielts 8 res,0
học nhà_hàng khách_sạn nghề,0
triệu_chứng_bệnh đậu_mùa khỉ lây_nhiễm nguy_hiểm_thế_nào,0
học chứng_chỉ nghiệp_vụ văn_thư_lưu_trữ hành_chính văn_phòng,0
áo_khoác cardigan nữ form ngắn thu đông 2024,0
nhật 8 quái_dị xử_lý rác,0
thực_phẩm máu,0
cccd hỗ_trợ tài_chính hỗ_trợ vay tiền 247 bất_ngờ kết_quả,1
hàng_xách giá rẻ ưu_đãi lỡ,1
món đồ cấm đài_loan,0
đặt_hàng ưu_đãi hỗ_trợ ngạc_nhiên,1
học tiếng online,0
myinstants39 kho soundboard siêu vui sinh_viên,0
cắm hoa nghệ_thuật đơn_giản,0
hỗ_trợ vay tiền 247 cccd giải_ngân nhanh_chóng đừng lỡ cơ_hội,1
bánh đồng_tiền mix hạt món ngon giòn_rụm dinh_dưỡng,0
lợi_ích yến_mạch mật_ong đem sức_khoẻ,0
game đổi thưởng tool auto thắng kiếm tiền nhanh_chóng chờ ngạc_nhiên,1
xây_dựng thói_quen đọc sách,0
game đổi thưởng chắc_chắn trúng tin_dùng,1
quê lập_nghiệp chăm_sóc mẹ xứ theo_đuổi giấc mơ,0
hàng hãng giảm_giá sốc hưởng lợi_nhuận số_nhân hoa_hồng khủng đừng cơ_hội trôi,1
giấc_ngủ cân_bằng công_việc cuộc_sống,0
tuyển cộng_tác_viên bất_động_sản thanh_hóa,0
cảm_nhận sài_gòn giác_quan,0
chuyển_khoản bằng_cấp kinh_nghiệm nhanh_chóng hành_động hôm_nay,1
tiền điện đặt_cọc kết_quả chứng_minh,1
